Proband;Alter;Alter_Gruppe;Geschlecht;Bildung;PC_Nutzung_pJ;PC_Nutzung_bJ;PC_Nutzung_pS;PC_Nutzung_bS;Kenntnisse_Betriebssystem;Kenntnisse_Internet;Kenntnisse_Programme;Betriebssystem_Win;Betriebssystem_Mac;Betriebssystem_Linux;Betriebssystem_Andere;Schwere;bekannt;UrsacheNennen;Lokation;Stabilitaet;Kontrollierbarkeit;Globalitaet;Aufgabe
68;58;3;1;6;0;6;0;7;2;4;1;1;0;0;0;5;7;nichts gefunden;2;2;1;5;4
68;58;3;1;6;0;6;0;7;2;4;1;1;0;0;0;7;7;nix gefunden;6;6;3;6;6
69;24;1;1;5;10;6;1;0;4;4;2;1;0;0;0;4;7;unübersichtliche Seite, nicht benutzen der Schnellsuchfunktion;5;5;3;6;2
69;24;1;1;5;10;6;1;0;4;4;2;1;0;0;0;6;7;konnte die Funktion nicht finden;4;5;3;6;4
69;24;1;1;5;10;6;1;0;4;4;2;1;0;0;0;6;7;unübersichtlichkeit;4;7;2;6;6
81;28;2;1;6;20;11;3;6;7;7;6;1;0;1;0;5;5;Wirrwarr an Links, teilweise zirkulär, die nicht zielgerichtet zu irgendeiner sinnvollen Information führten.;6;7;1;7;2
81;28;2;1;6;20;11;3;6;7;7;6;1;0;1;0;4;7;Gewichtschronik war abrufbar, aber hier war keine Interaktionsmöglichkeit zu erkennen, um an die gewünschte Information zu gelangen. Vielleicht gab es eine?;6;6;2;7;6
82;31;2;2;6;5;5;1;7;2;4;4;1;1;0;0;6;7;Unübersichtliche Website: Unter der scheinbar passenden Rubrik konnte das entsprechende Dokument nicht gefunden werden.;2;6;5;5;2
82;31;2;2;6;5;5;1;7;2;4;4;1;1;0;0;4;7;Die Möglichkeit sein Gewicht anzeigen zu lassen gab es nicht.;6;7;6;5;6
83;33;2;1;6;24;22;24;10;6;6;6;1;0;0;1;2;6;es gibt nur eine Bauordnung keine Bauverordnung;4;4;5;1;2
83;33;2;1;6;24;22;24;10;6;6;6;1;0;0;1;7;2;Dokument schreibgeschützt;7;6;1;1;3
83;33;2;1;6;24;22;24;10;6;6;6;1;0;0;1;5;7;ich mag keine apps und auch kein Abnehmen;1;1;5;1;6
84;22;1;2;5;12;8;1;3;6;6;4;0;1;0;0;7;7;Navigation unübersichtlich, verwirrend;4;6;1;5;2
84;22;1;2;5;12;8;1;3;6;6;4;0;1;0;0;7;7;Funktion nicht gefunden (ausgegraut, weil schreibgeschützt?);3;6;1;6;3
84;22;1;2;5;12;8;1;3;6;6;4;0;1;0;0;7;7;Funktion nicht gefunden;4;6;1;6;6
85;21;1;1;5;15;8;5;3;6;7;7;1;0;0;0;7;4;nicht unter Bauordnung/nicht logisch sortiert;6;7;7;5;2
85;21;1;1;5;15;8;5;3;6;7;7;1;0;0;0;6;7;Ich habe keinen Knopf für die Gesamtansicht gefunden.;7;7;7;3;6
101;40;2;1;5;30;20;1;6;6;6;4;0;0;1;0;7;7;Durfte die Suche nich benutzen;7;7;1;6;2
101;40;2;1;5;30;20;1;6;6;6;4;0;0;1;0;7;4;Kontextmenu war abgeschaltet;7;7;1;4;3
101;40;2;1;5;30;20;1;6;6;6;4;0;0;1;0;7;7;Ich habe kein Button /Menu gefunden.;7;7;1;7;6
102;46;2;2;3;7;5;2;4;4;5;4;1;0;0;0;5;7;orientierung;2;4;4;4;1
102;46;2;2;3;7;5;2;4;4;5;4;1;0;0;0;5;7;für mich nicht richtig ersichtlich;4;4;4;5;2
102;46;2;2;3;7;5;2;4;4;5;4;1;0;0;0;6;7;Orientirungslos;2;4;4;5;4
102;46;2;2;3;7;5;2;4;4;5;4;1;0;0;0;4;7;den Weg nicht gefunden;3;4;3;4;6
103;27;2;1;5;15;12;4;5;6;6;6;1;1;0;0;7;4;keine entsprechende Unterpunkte gefunden;6;6;7;5;2
103;27;2;1;5;15;12;4;5;6;6;6;1;1;0;0;6;2;entsprechender Menüpunkt (Zeichen) nicht anwählbar / keine Alternative gefunden;6;7;7;5;4
103;27;2;1;5;15;12;4;5;6;6;6;1;1;0;0;7;7;entsprechende Funktion nicht gefunden/nicht verfügbar(?);6;6;4;5;6
104;24;1;1;5;10;0;1;0;4;5;2;1;0;0;0;5;6;bei den plänen (stadtplanung) haben ich keine Bauverordnungen gefunde, und bei den algemeinen Bauverordnungen keine eingliederungen in stadtteile;4;6;3;6;2
